tx_id,paid_at,merchant,category,amount,method,note
TX0069,2026-06-16 10:17:25,肯德基,餐饮,27.54,微信支付,加班夜宵
TX0070,2026-06-16 14:24:22,喜茶,餐饮,50.39,支付宝,
TX0071,2026-06-16 15:41:25,喜茶,餐饮,59.15,银行卡,加班夜宵
TX0072,2026-06-16 20:56:58,麦当劳,餐饮,30.73,微信支付,下午茶
TX0073,2026-06-17 12:34:25,公交集团,交通,28.51,微信支付,
TX0074,2026-06-17 13:12:27,滴滴出行,交通,43.11,支付宝,
TX0075,2026-06-17 13:28:43,地铁通勤,交通,30.77,支付宝,
TX0076,2026-06-17 20:45:34,喜茶,餐饮,47.37,银行卡,
TX0077,2026-06-17 21:28:07,喜茶,餐饮,55.50,银行卡,加班夜宵
TX0078,2026-06-17 22:21:36,美团外卖,餐饮,26.46,银行卡,同事聚餐
TX0079,2026-06-18 08:14:29,天猫超市,购物,93.32,银行卡,
TX0080,2026-06-18 10:23:09,饿了么,餐饮,17.08,支付宝,
TX0081,2026-06-18 11:09:09,喜茶,餐饮,45.94,微信支付,同事聚餐
TX0082,2026-06-18 11:50:32,中国石化,交通,20.40,微信支付,顺路加油
TX0083,2026-06-18 12:11:18,京东,购物,93.80,银行卡,数码小配件
TX0084,2026-06-18 14:32:43,美团外卖,餐饮,38.00,银行卡,下午茶
TX0085,2026-06-19 18:52:33,麦当劳,餐饮,17.26,微信支付,工作日午餐
TX0086,2026-06-19 19:53:57,麦当劳,餐饮,42.57,银行卡,
TX0087,2026-06-19 20:40:29,喜茶,餐饮,38.90,银行卡,
TX0088,2026-06-20 10:56:24,喜茶,餐饮,21.88,微信支付,工作日午餐
TX0089,2026-06-20 11:00:17,公交集团,交通,19.83,银行卡,通勤地铁
TX0090,2026-06-20 11:43:49,盒马鲜生,购物,56.32,支付宝,日用品补货
TX0091,2026-06-20 12:38:34,麦当劳,餐饮,33.71,微信支付,同事聚餐
TX0092,2026-06-20 16:21:28,京东,购物,82.21,支付宝,囤纸巾洗衣液
TX0093,2026-06-21 13:00:19,麦当劳,餐饮,53.41,支付宝,
TX0094,2026-06-21 13:38:21,喜茶,餐饮,45.56,支付宝,
TX0095,2026-06-21 14:58:58,美团外卖,餐饮,59.13,银行卡,工作日午餐
TX0096,2026-06-21 16:19:51,盒马鲜生,购物,83.71,支付宝,
TX0097,2026-06-21 16:58:44,万达影城,娱乐,105.67,银行卡,
TX0098,2026-06-22 11:13:12,淘宝,购物,56.24,支付宝,日用品补货
TX0099,2026-06-22 11:26:24,肯德基,餐饮,24.52,支付宝,加班夜宵
TX0100,2026-06-22 12:58:14,喜茶,餐饮,18.09,银行卡,工作日午餐
TX0101,2026-06-22 13:28:17,天猫超市,购物,39.01,微信支付,
TX0102,2026-06-22 18:18:01,滴滴出行,交通,31.78,微信支付,
TX0103,2026-06-23 07:26:59,肯德基,餐饮,40.91,支付宝,同事聚餐
TX0104,2026-06-23 10:23:04,任天堂eShop,娱乐,89.06,银行卡,游戏打折入手
TX0105,2026-06-23 12:55:34,天猫超市,购物,37.59,银行卡,数码小配件
TX0106,2026-06-23 14:56:44,大麦网,娱乐,96.69,微信支付,
TX0107,2026-06-23 19:45:45,滴滴出行,交通,36.78,微信支付,顺路加油
TX0108,2026-06-23 20:11:19,喜茶,餐饮,42.02,微信支付,
TX0109,2026-06-24 19:31:33,喜茶,餐饮,27.15,银行卡,同事聚餐
TX0110,2026-06-24 21:02:31,淘宝,购物,69.84,支付宝,囤纸巾洗衣液
TX0111,2026-06-25 08:27:15,猫眼演出,娱乐,68.86,微信支付,
TX0112,2026-06-25 12:48:17,盒马鲜生,购物,60.39,微信支付,
TX0113,2026-06-25 14:41:15,麦当劳,餐饮,40.64,银行卡,同事聚餐
TX0114,2026-06-25 15:26:54,肯德基,餐饮,23.18,微信支付,加班夜宵
TX0115,2026-06-25 19:28:37,肯德基,餐饮,29.50,微信支付,工作日午餐
TX0116,2026-06-26 07:17:05,肯德基,餐饮,24.97,银行卡,下午茶
TX0117,2026-06-26 09:03:46,美团外卖,餐饮,29.20,银行卡,
TX0118,2026-06-26 16:23:21,大麦网,娱乐,90.29,支付宝,乐队演出门票
TX0119,2026-06-26 16:55:23,麦当劳,餐饮,39.91,支付宝,同事聚餐
TX0120,2026-06-26 18:46:11,Steam,娱乐,41.64,支付宝,乐队演出门票
TX0121,2026-06-27 07:52:16,麦当劳,餐饮,20.13,微信支付,同事聚餐
TX0122,2026-06-27 07:55:35,肯德基,餐饮,46.38,微信支付,
TX0123,2026-06-27 10:03:19,饿了么,餐饮,46.86,微信支付,加班夜宵
TX0124,2026-06-27 15:22:06,淘宝,购物,81.63,支付宝,数码小配件
TX0125,2026-06-27 15:57:38,大麦网,娱乐,118.05,微信支付,乐队演出门票
TX0126,2026-06-27 16:50:40,喜茶,餐饮,17.41,微信支付,
TX0127,2026-06-28 10:32:40,Steam,娱乐,46.46,微信支付,游戏打折入手
TX0128,2026-06-28 10:51:49,盒马鲜生,购物,129.94,支付宝,
TX0129,2026-06-28 11:14:07,瑞幸咖啡,餐饮,49.40,银行卡,
TX0130,2026-06-28 12:12:36,任天堂eShop,娱乐,26.02,银行卡,周末电影
TX0131,2026-06-29 07:33:14,肯德基,餐饮,46.81,银行卡,同事聚餐
TX0132,2026-06-29 08:16:10,饿了么,餐饮,33.38,银行卡,
TX0133,2026-06-29 10:59:59,肯德基,餐饮,50.45,银行卡,
TX0134,2026-06-30 09:49:50,肯德基,餐饮,41.78,银行卡,加班夜宵
TX0135,2026-06-30 14:59:44,肯德基,餐饮,46.49,支付宝,
TX0136,2026-06-30 16:17:14,喜茶,餐饮,21.70,支付宝,下午茶
TX0137,2026-07-01 07:26:05,地铁通勤,交通,43.59,银行卡,
TX0138,2026-07-01 08:22:38,饿了么,餐饮,55.02,银行卡,加班夜宵
TX0139,2026-07-01 12:00:00,自如公寓,居住,2500.00,银行卡,7月房租
TX0140,2026-07-01 14:32:58,公交集团,交通,14.72,银行卡,
TX0141,2026-07-01 15:23:05,12306,交通,20.87,支付宝,顺路加油
TX0142,2026-07-01 20:03:43,大麦网,娱乐,77.62,微信支付,
TX0143,2026-07-01 21:38:10,公交集团,交通,23.23,支付宝,顺路加油
TX0144,2026-07-02 10:30:00,国家电网,居住,92.08,银行卡,7月水电燃气
TX0145,2026-07-02 11:54:28,12306,交通,12.49,银行卡,
TX0146,2026-07-02 12:32:00,美团外卖,餐饮,32.50,微信支付,"餐品错送退款,联系骑手 13812345678 处理"
TX0147,2026-07-02 15:30:40,12306,交通,36.12,微信支付,顺路加油
TX0148,2026-07-02 16:23:02,天猫超市,购物,180.38,微信支付,
TX0149,2026-07-02 19:06:10,拼多多,购物,90.75,微信支付,囤纸巾洗衣液
TX0150,2026-07-02 21:04:00,盒马鲜生,购物,35.96,银行卡,数码小配件
TX0151,2026-07-03 09:00:41,美团外卖,餐饮,37.43,银行卡,加班夜宵
TX0152,2026-07-03 11:39:26,12306,交通,44.27,微信支付,
TX0153,2026-07-04 10:15:58,瑞幸咖啡,餐饮,37.87,微信支付,工作日午餐
TX0154,2026-07-04 11:49:46,拼多多,购物,93.79,银行卡,
TX0155,2026-07-04 12:29:55,美团外卖,餐饮,59.13,微信支付,
TX0156,2026-07-04 14:37:34,天猫超市,购物,90.71,银行卡,
TX0157,2026-07-04 20:28:54,麦当劳,餐饮,30.29,银行卡,加班夜宵
TX0158,2026-07-04 21:36:49,麦当劳,餐饮,16.96,银行卡,同事聚餐
TX0159,2026-07-05 08:05:00,腾讯视频,订阅,15.00,支付宝,视频VIP自动续费
TX0160,2026-07-05 09:05:00,百度网盘,订阅,18.00,支付宝,超级会员自动续费
TX0161,2026-07-05 10:05:00,网易云音乐,订阅,10.00,支付宝,黑胶VIP自动续费
TX0162,2026-07-05 11:05:00,Keep,订阅,19.00,支付宝,健身会员自动续费
TX0163,2026-07-05 12:05:00,iCloud,订阅,21.00,支付宝,50GB云存储订阅
TX0164,2026-07-05 12:36:54,喜茶,餐饮,53.67,支付宝,加班夜宵
TX0165,2026-07-05 13:05:00,GitHub Copilot,订阅,84.00,支付宝,编程助手订阅
TX0166,2026-07-05 14:47:00,地铁通勤,交通,23.17,银行卡,打车赶时间
TX0167,2026-07-05 17:04:21,饿了么,餐饮,54.34,支付宝,工作日午餐
TX0168,2026-07-05 18:19:50,喜茶,餐饮,59.14,支付宝,工作日午餐
TX0169,2026-07-05 20:20:16,肯德基,餐饮,43.05,支付宝,
TX0170,2026-07-06 07:36:39,淘宝,购物,105.28,支付宝,囤纸巾洗衣液
TX0171,2026-07-06 07:57:18,肯德基,餐饮,31.87,微信支付,下午茶
TX0172,2026-07-06 14:24:06,淘宝,购物,106.34,微信支付,日用品补货
TX0173,2026-07-06 16:39:43,地铁通勤,交通,14.29,微信支付,
TX0174,2026-07-06 17:34:43,京东,购物,94.15,微信支付,
TX0175,2026-07-07 14:32:22,瑞幸咖啡,餐饮,28.46,支付宝,
TX0176,2026-07-07 16:45:22,瑞幸咖啡,餐饮,28.31,银行卡,加班夜宵
TX0177,2026-07-07 18:22:00,麦当劳,餐饮,55.55,银行卡,
TX0178,2026-07-07 21:25:19,美团外卖,餐饮,59.97,支付宝,工作日午餐
TX0179,2026-07-08 18:14:25,大麦网,娱乐,20.81,银行卡,周末电影
TX0180,2026-07-08 19:43:31,大麦网,娱乐,97.57,微信支付,
TX0181,2026-07-09 09:20:40,滴滴出行,交通,41.43,银行卡,通勤地铁
TX0182,2026-07-09 10:14:39,肯德基,餐饮,45.50,银行卡,
TX0183,2026-07-09 12:34:47,猫眼演出,娱乐,37.56,微信支付,
TX0184,2026-07-09 14:31:02,瑞幸咖啡,餐饮,31.42,微信支付,工作日午餐
TX0185,2026-07-10 09:06:29,肯德基,餐饮,45.28,银行卡,加班夜宵
TX0186,2026-07-10 11:39:53,地铁通勤,交通,17.51,支付宝,顺路加油
TX0187,2026-07-10 12:46:51,淘宝,购物,38.28,微信支付,
TX0188,2026-07-10 20:43:35,大麦网,娱乐,29.03,支付宝,周末电影
TX0189,2026-07-11 12:09:41,猫眼演出,娱乐,31.67,微信支付,周末电影
TX0190,2026-07-11 13:19:42,喜茶,餐饮,46.34,银行卡,同事聚餐
TX0191,2026-07-11 15:24:07,饿了么,餐饮,25.57,银行卡,下午茶
TX0192,2026-07-11 16:34:20,中国石化,交通,16.19,微信支付,
TX0193,2026-07-11 17:53:23,饿了么,餐饮,45.37,支付宝,工作日午餐
TX0194,2026-07-11 19:24:09,12306,交通,32.23,支付宝,
TX0195,2026-07-12 07:21:03,公交集团,交通,17.01,微信支付,
TX0196,2026-07-12 08:41:43,拼多多,购物,137.56,支付宝,日用品补货
TX0197,2026-07-12 10:14:07,麦当劳,餐饮,19.13,微信支付,
TX0198,2026-07-12 11:46:02,大麦网,娱乐,41.73,支付宝,游戏打折入手
TX0199,2026-07-12 21:09:48,瑞幸咖啡,餐饮,24.32,微信支付,下午茶
TX0200,2026-07-13 09:09:47,麦当劳,餐饮,38.67,银行卡,工作日午餐
TX0201,2026-07-13 20:27:57,盒马鲜生,购物,277.34,微信支付,囤纸巾洗衣液
TX0202,2026-07-13 20:28:50,美团外卖,餐饮,41.50,微信支付,下午茶
TX0203,2026-07-13 20:37:11,滴滴出行,交通,32.46,微信支付,打车赶时间
TX0204,2026-07-14 07:44:46,任天堂eShop,娱乐,50.16,银行卡,周末电影
TX0205,2026-07-14 13:10:32,瑞幸咖啡,餐饮,19.91,银行卡,下午茶
TX0206,2026-07-14 14:34:04,滴滴出行,交通,19.92,微信支付,通勤地铁
TX0207,2026-07-14 15:10:54,麦当劳,餐饮,34.18,微信支付,同事聚餐
TX0208,2026-07-14 17:39:40,瑞幸咖啡,餐饮,39.68,支付宝,同事聚餐
TX0209,2026-07-15 09:13:35,饿了么,餐饮,41.39,银行卡,
TX0210,2026-07-15 14:44:32,中国石化,交通,23.92,银行卡,通勤地铁
TX0211,2026-07-15 18:06:56,盒马鲜生,购物,53.65,支付宝,囤纸巾洗衣液
TX0212,2026-07-15 18:21:16,肯德基,餐饮,57.91,银行卡,同事聚餐
TX0213,2026-07-15 20:13:00,某电商平台,购物,899.00,支付宝,"数码大促下单,订单号 SO-20260715-89901 已开票"
TX0214,2026-07-15 21:07:29,麦当劳,餐饮,33.72,微信支付,加班夜宵
TX0215,2026-07-15 21:11:05,饿了么,餐饮,34.43,银行卡,
TX0216,2026-07-16 11:45:36,美团外卖,餐饮,51.32,银行卡,
TX0217,2026-07-16 14:00:22,12306,交通,40.12,银行卡,通勤地铁
TX0218,2026-07-16 15:13:14,饿了么,餐饮,30.76,银行卡,加班夜宵
TX0219,2026-07-16 17:14:19,大麦网,娱乐,30.36,银行卡,游戏打折入手
TX0220,2026-07-17 07:31:05,中国石化,交通,15.96,支付宝,
TX0221,2026-07-17 07:53:09,美团外卖,餐饮,48.95,微信支付,
TX0222,2026-07-17 09:26:36,喜茶,餐饮,33.04,微信支付,
TX0223,2026-07-17 11:39:44,肯德基,餐饮,56.47,支付宝,工作日午餐
TX0224,2026-07-17 13:18:19,喜茶,餐饮,29.60,银行卡,
TX0225,2026-07-17 16:30:01,中国石化,交通,42.38,银行卡,顺路加油
TX0226,2026-07-18 15:44:07,肯德基,餐饮,34.35,支付宝,
TX0227,2026-07-18 18:17:27,麦当劳,餐饮,42.32,支付宝,加班夜宵
TX0228,2026-07-19 12:08:13,美团外卖,餐饮,49.39,支付宝,加班夜宵
TX0229,2026-07-19 14:50:58,饿了么,餐饮,53.79,银行卡,同事聚餐
TX0230,2026-07-19 15:29:47,麦当劳,餐饮,22.91,支付宝,
TX0231,2026-07-19 15:32:35,公交集团,交通,10.67,银行卡,通勤地铁
TX0232,2026-07-19 18:23:19,饿了么,餐饮,24.92,银行卡,工作日午餐
TX0233,2026-07-19 19:06:40,12306,交通,18.71,支付宝,通勤地铁
TX0234,2026-07-20 11:09:27,盒马鲜生,购物,38.65,支付宝,数码小配件
TX0235,2026-07-20 17:32:29,喜茶,餐饮,56.39,微信支付,同事聚餐
TX0236,2026-07-20 20:17:10,饿了么,餐饮,37.97,微信支付,
TX0237,2026-07-20 22:27:49,公交集团,交通,20.99,银行卡,打车赶时间
TX0238,2026-07-21 11:22:12,美团外卖,餐饮,42.11,银行卡,工作日午餐
TX0239,2026-07-21 20:11:40,麦当劳,餐饮,35.88,银行卡,
TX0240,2026-07-21 22:03:36,喜茶,餐饮,43.59,银行卡,加班夜宵
TX0241,2026-07-22 08:09:30,麦当劳,餐饮,43.41,支付宝,
TX0242,2026-07-22 11:53:04,喜茶,餐饮,53.89,微信支付,
TX0243,2026-07-22 13:33:29,中国石化,交通,28.51,银行卡,通勤地铁
TX0244,2026-07-22 15:39:04,肯德基,餐饮,35.78,微信支付,工作日午餐
TX0245,2026-07-23 08:03:28,饿了么,餐饮,51.49,支付宝,
TX0246,2026-07-23 12:46:43,瑞幸咖啡,餐饮,17.36,银行卡,
TX0247,2026-07-23 16:45:41,Steam,娱乐,52.15,支付宝,
TX0248,2026-07-23 17:24:10,公交集团,交通,21.80,支付宝,
TX0249,2026-07-23 18:01:11,饿了么,餐饮,26.15,支付宝,同事聚餐
TX0250,2026-07-24 08:36:35,喜茶,餐饮,32.40,支付宝,
TX0251,2026-07-24 12:17:35,猫眼演出,娱乐,84.35,支付宝,游戏打折入手
TX0252,2026-07-24 18:11:44,喜茶,餐饮,32.64,银行卡,
TX0253,2026-07-24 22:28:38,京东,购物,94.10,微信支付,数码小配件
TX0254,2026-07-25 07:38:42,拼多多,购物,97.98,银行卡,
TX0255,2026-07-25 10:05:53,喜茶,餐饮,49.70,微信支付,
TX0256,2026-07-25 10:39:21,麦当劳,餐饮,23.64,微信支付,下午茶
TX0257,2026-07-25 14:00:23,喜茶,餐饮,47.38,支付宝,
TX0258,2026-07-25 18:26:27,瑞幸咖啡,餐饮,31.28,支付宝,加班夜宵
TX0259,2026-07-25 21:24:50,饿了么,餐饮,37.85,银行卡,
TX0260,2026-07-26 09:45:52,地铁通勤,交通,37.65,微信支付,顺路加油
TX0261,2026-07-26 15:12:55,肯德基,餐饮,39.95,微信支付,
TX0262,2026-07-26 16:44:28,麦当劳,餐饮,49.62,支付宝,
TX0263,2026-07-26 20:22:28,京东,购物,64.04,支付宝,囤纸巾洗衣液
TX0264,2026-07-27 07:05:57,饿了么,餐饮,15.86,微信支付,下午茶
TX0265,2026-07-27 09:20:02,拼多多,购物,81.97,微信支付,
TX0266,2026-07-27 10:47:52,麦当劳,餐饮,54.81,微信支付,同事聚餐
TX0267,2026-07-27 11:51:05,京东,购物,129.58,微信支付,
TX0268,2026-07-27 12:26:59,饿了么,餐饮,52.76,银行卡,加班夜宵
TX0269,2026-07-27 15:34:23,美团外卖,餐饮,32.38,微信支付,加班夜宵
TX0270,2026-07-28 07:48:15,麦当劳,餐饮,43.75,银行卡,同事聚餐
TX0271,2026-07-28 08:09:33,任天堂eShop,娱乐,70.73,银行卡,
TX0272,2026-07-28 11:07:45,地铁通勤,交通,18.78,微信支付,
TX0273,2026-07-28 16:44:26,美团外卖,餐饮,44.90,微信支付,
TX0274,2026-07-28 17:23:33,猫眼演出,娱乐,31.12,支付宝,游戏打折入手
TX0275,2026-07-28 21:16:57,麦当劳,餐饮,41.85,微信支付,
TX0276,2026-07-29 13:05:50,淘宝,购物,110.62,银行卡,日用品补货
TX0277,2026-07-29 15:01:02,喜茶,餐饮,32.41,支付宝,加班夜宵
TX0278,2026-07-30 10:26:02,美团外卖,餐饮,54.86,支付宝,加班夜宵
TX0279,2026-07-30 12:40:08,淘宝,购物,67.24,银行卡,囤纸巾洗衣液
TX0280,2026-07-30 13:16:27,麦当劳,餐饮,48.45,支付宝,加班夜宵
TX0281,2026-07-30 18:41:29,天猫超市,购物,119.26,微信支付,
TX0282,2026-07-30 20:54:34,12306,交通,17.37,银行卡,打车赶时间
TX0283,2026-07-30 21:42:49,饿了么,餐饮,53.96,支付宝,加班夜宵
TX0284,2026-07-31 14:20:38,美团外卖,餐饮,39.55,支付宝,工作日午餐
TX0285,2026-07-31 15:29:23,瑞幸咖啡,餐饮,27.00,微信支付,
TX0286,2026-07-31 18:16:18,肯德基,餐饮,35.07,银行卡,同事聚餐
TX0287,2026-08-01 11:41:40,万达影城,娱乐,27.50,银行卡,
TX0288,2026-08-01 12:00:00,自如公寓,居住,2500.00,银行卡,8月房租
TX0289,2026-08-01 12:59:28,滴滴出行,交通,34.89,支付宝,
TX0290,2026-08-01 20:40:47,喜茶,餐饮,22.20,微信支付,下午茶
TX0291,2026-08-02 10:30:00,国家电网,居住,97.50,银行卡,8月水电燃气
TX0292,2026-08-02 11:45:15,饿了么,餐饮,16.17,微信支付,同事聚餐
TX0293,2026-08-02 14:28:02,地铁通勤,交通,10.49,银行卡,顺路加油
TX0294,2026-08-02 16:35:07,公交集团,交通,36.67,银行卡,
TX0295,2026-08-02 16:40:02,瑞幸咖啡,餐饮,21.90,支付宝,加班夜宵
TX0296,2026-08-02 17:26:18,喜茶,餐饮,56.24,支付宝,下午茶
TX0297,2026-08-02 20:01:04,瑞幸咖啡,餐饮,21.20,支付宝,同事聚餐
TX0298,2026-08-03 08:15:28,美团外卖,餐饮,55.44,支付宝,工作日午餐
TX0299,2026-08-03 21:25:20,拼多多,购物,90.50,支付宝,数码小配件
TX0300,2026-08-04 10:25:50,美团外卖,餐饮,25.65,支付宝,工作日午餐
TX0301,2026-08-04 16:46:23,麦当劳,餐饮,51.16,银行卡,下午茶
TX0302,2026-08-04 18:57:40,地铁通勤,交通,37.37,银行卡,打车赶时间
TX0303,2026-08-05 08:05:00,腾讯视频,订阅,25.00,支付宝,视频VIP自动续费
TX0304,2026-08-05 08:07:19,天猫超市,购物,109.08,银行卡,
TX0305,2026-08-05 10:05:00,网易云音乐,订阅,10.00,支付宝,黑胶VIP自动续费
TX0306,2026-08-05 11:05:00,Keep,订阅,19.00,支付宝,健身会员自动续费
TX0307,2026-08-05 12:05:00,iCloud,订阅,21.00,支付宝,50GB云存储订阅
TX0308,2026-08-05 12:11:10,地铁通勤,交通,19.94,银行卡,打车赶时间
TX0309,2026-08-05 13:05:00,GitHub Copilot,订阅,84.00,支付宝,编程助手订阅
TX0310,2026-08-05 15:49:22,美团外卖,餐饮,54.51,银行卡,
TX0311,2026-08-05 15:51:57,肯德基,餐饮,53.07,支付宝,下午茶
TX0312,2026-08-05 20:06:08,12306,交通,26.61,微信支付,通勤地铁
TX0313,2026-08-05 21:03:36,淘宝,购物,190.72,微信支付,
TX0314,2026-08-06 09:15:00,百度网盘,订阅,18.00,支付宝,超级会员自动续费
TX0315,2026-08-06 09:20:00,百度网盘,订阅,18.00,支付宝,超级会员自动续费(扣款提醒)
TX0316,2026-08-06 10:35:49,瑞幸咖啡,餐饮,33.75,银行卡,工作日午餐
TX0317,2026-08-06 16:37:02,饿了么,餐饮,18.66,银行卡,
TX0318,2026-08-06 16:54:09,美团外卖,餐饮,44.64,银行卡,
TX0319,2026-08-06 17:40:19,瑞幸咖啡,餐饮,39.01,银行卡,
TX0320,2026-08-06 17:42:34,肯德基,餐饮,43.89,支付宝,同事聚餐
TX0321,2026-08-06 20:46:43,麦当劳,餐饮,28.38,微信支付,
TX0322,2026-08-07 14:05:30,麦当劳,餐饮,24.18,银行卡,下午茶
TX0323,2026-08-07 19:15:20,喜茶,餐饮,59.46,支付宝,同事聚餐
TX0324,2026-08-08 08:39:03,肯德基,餐饮,57.54,银行卡,同事聚餐
TX0325,2026-08-08 15:47:35,淘宝,购物,81.31,支付宝,
TX0326,2026-08-08 21:46:57,美团外卖,餐饮,51.61,银行卡,
TX0327,2026-08-09 07:51:18,麦当劳,餐饮,41.89,银行卡,
TX0328,2026-08-09 09:43:31,瑞幸咖啡,餐饮,36.01,支付宝,同事聚餐
TX0329,2026-08-09 13:42:32,麦当劳,餐饮,58.50,微信支付,
TX0330,2026-08-09 16:09:00,饿了么,餐饮,34.39,支付宝,
